Namespace(backend='inductor', batch_size=4, cache=False, checkpoint_step=-1, compile=False, datadir='../', device='gpu', learning_rate=0.0005, log_dir=None, num_query=10, num_support=5, num_train_iterations=8000, num_way=2, num_workers=2, test=False)
Using device:  cpu
log_dir: ./logs/protonet/metabolism.way_2.support_5.query_10.lr_0.0005.batch_size_4
Checkpoint loading skipped.
Training on tasks with composition num_way=2, num_support=5, num_query=10
Starting training at iteration 0.
Iteration 0: loss: 0.650, support accuracy: 1.000, query accuracy: 0.688
Start Validation...
Validation: loss: 0.648, support accuracy: 1.000, query accuracy: 0.641 Ci95: 0.003
Saved checkpoint.
Iteration 10: loss: 0.536, support accuracy: 1.000, query accuracy: 0.775
Iteration 20: loss: 0.519, support accuracy: 1.000, query accuracy: 0.825
Iteration 30: loss: 0.480, support accuracy: 0.975, query accuracy: 0.837
Iteration 40: loss: 0.470, support accuracy: 1.000, query accuracy: 0.875
Iteration 50: loss: 0.400, support accuracy: 1.000, query accuracy: 0.925
Iteration 60: loss: 0.560, support accuracy: 1.000, query accuracy: 0.763
Iteration 70: loss: 0.388, support accuracy: 0.950, query accuracy: 0.925
Iteration 80: loss: 0.360, support accuracy: 1.000, query accuracy: 0.962
Iteration 90: loss: 0.364, support accuracy: 0.975, query accuracy: 0.962
Iteration 100: loss: 0.385, support accuracy: 1.000, query accuracy: 0.950
Iteration 110: loss: 0.400, support accuracy: 0.975, query accuracy: 0.912
Iteration 120: loss: 0.401, support accuracy: 0.950, query accuracy: 0.925
Iteration 130: loss: 0.403, support accuracy: 0.975, query accuracy: 0.912
Iteration 140: loss: 0.365, support accuracy: 0.975, query accuracy: 0.938
Iteration 150: loss: 0.371, support accuracy: 0.975, query accuracy: 0.987
Iteration 160: loss: 0.368, support accuracy: 0.975, query accuracy: 0.975
Iteration 170: loss: 0.383, support accuracy: 1.000, query accuracy: 0.938
Iteration 180: loss: 0.360, support accuracy: 0.975, query accuracy: 0.975
Iteration 190: loss: 0.368, support accuracy: 1.000, query accuracy: 0.950
Iteration 200: loss: 0.395, support accuracy: 0.950, query accuracy: 0.937
Iteration 210: loss: 0.335, support accuracy: 1.000, query accuracy: 0.975
Iteration 220: loss: 0.380, support accuracy: 0.975, query accuracy: 0.950
Iteration 230: loss: 0.368, support accuracy: 0.975, query accuracy: 0.962
Iteration 240: loss: 0.324, support accuracy: 1.000, query accuracy: 1.000
Iteration 250: loss: 0.383, support accuracy: 1.000, query accuracy: 0.937
Iteration 260: loss: 0.343, support accuracy: 0.950, query accuracy: 0.987
Iteration 270: loss: 0.363, support accuracy: 0.975, query accuracy: 0.950
Iteration 280: loss: 0.370, support accuracy: 0.975, query accuracy: 0.950
Iteration 290: loss: 0.425, support accuracy: 0.950, query accuracy: 0.875
Iteration 300: loss: 0.368, support accuracy: 1.000, query accuracy: 0.950
Iteration 310: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 320: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 330: loss: 0.335, support accuracy: 1.000, query accuracy: 1.000
Iteration 340: loss: 0.362, support accuracy: 0.975, query accuracy: 0.950
Iteration 350: loss: 0.334, support accuracy: 1.000, query accuracy: 0.987
